alpha,file,mean,std,min,max,mean_abs_diff_vs_v10,max_abs_diff_vs_v10,corr_vs_v10
0.14,outputs/submission_v20_anti_v11_a14.csv,0.12385015420874809,0.16066250629336737,0.0022010187806903777,0.9421564658265217,0.0009681962481624581,0.010714174993378567,0.9999595370760704
0.16,outputs/submission_v20_anti_v11_a16.csv,0.12384261328394361,0.1606840128481525,0.002188360812479732,0.9419214922654359,0.001106509997899952,0.012244771421004108,0.9999471642860479
0.18,outputs/submission_v20_anti_v11_a18.csv,0.12383507235913908,0.16070578416042378,0.002175702844269086,0.9416865187043499,0.001244823747637446,0.01377536784862965,0.9999331474479888
0.2,outputs/submission_v20_anti_v11_a20.csv,0.12382753143433457,0.16072782012259335,0.0021630448760584396,0.9414515451432641,0.00138313749737494,0.01530596427625519,0.9999174879685611
0.24,outputs/submission_v20_anti_v11_a24.csv,0.12381244958472556,0.16077268556003643,0.002137728939637148,0.9409815980210924,0.0016597649968499281,0.018367157131506162,0.9998812468281462
0.28,outputs/submission_v20_anti_v11_a28.csv,0.12379737641337295,0.16081860158443592,0.0,0.9405116508989205,0.001936383818068506,0.021428349986757245,0.999838459036814
0.32,outputs/submission_v20_anti_v11_a32.csv,0.12378236206891402,0.16086552798513656,0.0,0.9400417037767488,0.002212943812393438,0.024489542842008216,0.9997891779510923
