alpha,file,mean,std,min,max,mean_abs_diff_vs_v10,max_abs_diff_vs_v10,corr_vs_v10
0.22,outputs/submission_v21_anti_v11_a22.csv,0.12381999050953008,0.16075012062582494,0.0021503869078477937,0.9412165715821782,0.0015214512471124343,0.016836560703880732,0.9999001872776212
0.24,outputs/submission_v21_anti_v11_a24.csv,0.12381244958472556,0.16077268556003643,0.002137728939637148,0.9409815980210924,0.0016597649968499281,0.018367157131506162,0.9998812468281462
0.26,outputs/submission_v21_anti_v11_a26.csv,0.12380490865992104,0.16079551481390258,0.001047554883219861,0.9407466244600065,0.0017980787465874221,0.019897753559131703,0.9998606680961643
0.28,outputs/submission_v21_anti_v11_a28.csv,0.12379737641337295,0.16081860158443592,0.0,0.9405116508989205,0.001936383818068506,0.021428349986757245,0.999838459036814
0.3,outputs/submission_v21_anti_v11_a30.csv,0.12378986924114349,0.16084193293817103,0.0,0.9402766773378347,0.002074663815230972,0.022958946414382786,0.9998146344747099
0.34,outputs/submission_v21_anti_v11_a34.csv,0.12377485489668452,0.16088938660931765,0.0,0.939806730215663,0.0023512238095559036,0.026020139269633757,0.999762091030047
0.38,outputs/submission_v21_anti_v11_a38.csv,0.12375984055222554,0.16093789411913575,0.0,0.9393367830934912,0.0026277838038808355,0.02908133212488484,0.9997030323651594
0.42,outputs/submission_v21_anti_v11_a42.csv,0.1237448262077666,0.16098745451502153,0.0,0.9388668359713195,0.002904343798205767,0.03214252498013581,0.999637471444315
0.46,outputs/submission_v21_anti_v11_a46.csv,0.12372981186330764,0.16103806682487964,0.0,0.9383968888491477,0.003180903792530699,0.035203717835386894,0.9995654215905809
