alpha,file,mean,std,min,max,zero_count,one_count,raw_below_zero,raw_above_one,mean_abs_diff_vs_v10,max_abs_diff_vs_v10,corr_vs_v10
0.5,outputs/submission_v23_peak_probe_a50.csv,0.12371483971042117,0.1610896975088329,0.0,0.937926941726976,3,0,3,0,0.003457421595283151,0.038264910690637866,0.9994869299792105
0.56,outputs/submission_v23_peak_probe_a56.csv,0.12369263195530761,0.16116891724586493,0.0,0.9372220210437183,14,0,14,0,0.003871947825195696,0.04285669997351449,0.9993573005814193
0.62,outputs/submission_v23_peak_probe_a62.csv,0.12367127235037871,0.16124983468548096,0.0,0.9382955191652191,32,0,32,0,0.004285625904923534,0.047448489256391,0.9992140040565599
0.66,outputs/submission_v23_peak_probe_a66.csv,0.123657702403572,0.1613045614472828,0.0,0.9409451385277261,53,0,53,0,0.0045607415015962195,0.050509682111642085,0.9991112113233984
0.7,outputs/submission_v23_peak_probe_a70.csv,0.1236450435373768,0.16135961642228397,0.0,0.943594757890233,77,0,77,0,0.004834946017657386,0.053570874966893056,0.9990031507163687
0.76,outputs/submission_v23_peak_probe_a76.csv,0.12362777568708666,0.16144278143538282,0.0,0.9475691869339934,111,0,111,0,0.0052445323427465045,0.05816266424976968,0.9988315037878913
0.84,outputs/submission_v23_peak_probe_a84.csv,0.1236076696176183,0.1615549342968808,0.0,0.9528684256590072,178,0,178,0,0.0057877297119468115,0.06428504996027173,0.9985844548683303
