file,mean,std,min,max,mean_abs_diff_vs_v10,max_abs_diff_vs_v10,corr_vs_v10
outputs/submission_v19_stable_pair_a04.csv,0.12389902228069413,0.16049501768902952,0.0022153634835056584,0.9434620635132935,0.00014590227952971153,0.0017717046459344576,0.9999992701524772
outputs/submission_v15_anti_v11_a04.csv,0.12388785883277063,0.16055894855958563,0.002216824056193016,0.9433313336319511,0.000276627499474988,0.0030611928552510825,0.9999966927033606
outputs/submission_v19_stable_pair_a08.csv,0.12389510387900862,0.16047088732932915,0.002226496869733918,0.9431228462724643,0.0002918045590594238,0.0035434092918689153,0.9999970797286578
outputs/submission_v19_stable_pair_a12.csv,0.1238911854773231,0.1604469914201129,0.0022376302559621764,0.942783629031635,0.00043770683858913525,0.005315113937803373,0.9999934274201653
outputs/submission_v16_reweight_v9_17.csv,0.123888246676059,0.16042922340939178,0.0022459802956334234,0.942529216101013,0.0005471335482364221,0.006643892422254161,0.9999897280500945
outputs/submission_v15_anti_v11_a08.csv,0.12387277698316163,0.16059957623102472,0.0022294180151086317,0.9428613865097794,0.000553254998949976,0.006122385710502054,0.9999867774403441
outputs/submission_v15_anti_v11_a12.csv,0.12385769513355259,0.16064126460240502,0.0022136767489010236,0.9423914393876076,0.0008298824984249642,0.009183578565753137,0.9999702644346301
outputs/submission_v17_reweight_v9_15.csv,0.1238784506718452,0.1603709501484587,0.0022386803233727724,0.9416811729989398,0.0009118892470607013,0.01107315403709025,0.9999714458050738
outputs/submission_v15_anti_v11_a16.csv,0.12384261328394361,0.1606840128481525,0.002188360812479732,0.9419214922654359,0.001106509997899952,0.012244771421004108,0.9999471642860479
outputs/submission_v18_reweight_v9_12.csv,0.1238637566655245,0.16028629334756075,0.002208113782497466,0.94040910834583,0.00145902279529712,0.017717046459344465,0.9999268223922053
outputs/submission_v15_anti_v11_a22.csv,0.12381999050953008,0.16075012062582494,0.0021503869078477937,0.9412165715821782,0.0015214512471124343,0.016836560703880732,0.9999001872776212
